par_num,par_text,ents
11,"По мере того как рушилась власть президента Р. Никсона в 1973 и 1974 годах, силы, противодействующие разрядке, вновь заняли боевые позиции, и весьма эффективно». Президент США Дж. Форд впоследствии признавал, что «убежденные сторонники американского военного превосходства в Пентагоне сделали бы заключение нового соглашения по ОСВ все равно невозможным»","['Р. Никсона', 'Сша', 'Дж', 'Форд', 'Пентагон']"
12,"Поэтому разрядка оказалась недолговечной. Уже в конце 70 -начале 80-х годов положение в мире вновь стало характеризоваться значительной напряженностью, вызванной попытками определенных кругов США сломать сложившееся стратегическое равновесие, добиться одностороннего военного превосходства, с тем чтобы попытаться обеспечить себе доминирующие позиции в мире",['Сша']
13,"Отношения двух сверхдержав вновь вернулись к стратегическому противоборству, в условиях которого долгие годы, вплоть до краха Советского Союза, и пришлось работать внешней разведке",['Советский Союз']
14,"Главная задача, поставленная перед разведкой в этот период противостояния двух сверхдержав, заключалась в том, чтобы не просмотреть такого прорыва противоположной стороны в военной, научно-",[]
15,"технической и политической областях, который дал бы ей подавляющее преимущество и представил бы реальную угрозу безопасности для нашей страны, поставил бы ее перед возможностью внезапного ракетно-ядерного нападения",[]
16,В июне 1975 года в США был рассекречен и опубликован основополагающий документ холодной войны: подписанная в 1950 году президентом США Трумэном директива Совета национальной безопасности США 68 (СНБ-68),"['Сша', 'Трумэном Директива', 'Совет Национальный Безопасность']"
17,"Этот концептуальный документ, определявший на долгие десятилетия, вплоть до распада СССР, внешнеполитическую доктрину США, явился своего рода хартией холодной войны. В качестве основной цели политики США он провозглашал «достижение фундаментального изменения природы советской системы»","['Ссср', 'Сша']"
18,"Первый заместитель министра иностранных дел СССР Г.М. Корниенко в своих воспоминаниях «Холодная война. Свидетельство ее участника» дал следующую опенку этой доктринальной установке американской внешней политики. В рамках рекомендованного директивой СНБ политического курса, пишет он, «фактически не было места для серьезных и успешных переговоров между Соединенными Штатами и Советским Союзом как по общему урегулированию их отношений, так и по вопросам ограничения вооружений и разоружения. Не рассчитывая, что с помощью переговоров Соединенным Штатам удастся достичь такого урегулирования, которое вело бы к фундаментальным изменениям советской системы, авторы документа допускали использование переговоров с СССР лишь в чисто тактических целях»","['Ссср', 'Г.М. Корниенко', 'Соединить Штат', 'Советский Союз']"
19,"Нацеленность политики США на ликвидацию Советского Союза находила подтверждение и в добываемых разведкой документальных материалах о ядерном планировании США, а затем и НАТО, разработке конкретных планов нанесения ядерных ударов по территории Советского Союза и его партнеров по оборонительному Варшавскому договору ( «Тоталити» -1945 год, «Пинчер» -1946 год, «Бройлер» -947 год, «дропшот» -1948 год, «Сиззл» -конец 1948 года)","['Сша', 'Советский Союз', 'Нато', 'Варшавский Договор', 'Бройлер', 'Сиззл']"
20,"Так, составленный еще в 1948 году Пентагоном и Комитетом начальников штабов США план «дропшот» предусматривал использование для удара по Советскому Союзу 300 атомных и 29 тысяч обычных бомб. По расчетам американцев, это должно было бы привести к уничтожению 85% промышленного потенциала СССР и гибели нескольких миллионов человек его населения","['Пентагон', 'Комитет Начальник Штаб', 'Сша', 'Советский Союз', 'Ссср']"
21,"С конца 1960-х годов американские и натовские стратеги стали составлять так называемые «Единые комплексные оперативные планы» (СИОП) ударов по советскому блоку, предусматривавшие объединение под единым командованием всех сил и средств ведения ядерной войны. Планы эти постоянно дорабатывались с учетом появления новых видов вооружений и изменений расстановки сил на 7",[]
22,"международной арене. В задачу внешней разведки, которую она не без успеха решала, входило быть постоянно в курсе этих натовских планов. Последний известный внешней разведке СССР комплексный план СИОП-6 был подписан Р. Рейганом в 1980 году","['Ссср', 'Р. Рейган']"
23,"В целом дефицита информации относительно планов американских правящих кругов и их нацеленности на «фундаментальное изменение природы советской системы» у советского руководства не было. Другое дело, как она воспринималась, насколько трезво и погосударственному оценивалась. Заявления типа «кто кого похоронит» мало способствовали мобилизации внутренних ресурсов страны в ответ на реально грозящую опасность",[]
24,"С мая 1956 года по июль 1971 года начальником внешней разведки был А.М. Сахаровский, человек с большим опытом военной и чекистской работы, участник боевых разведывательных операций в годы войны",['А.М. Сахаровский']
25,"Для разведки это было время ее становления в условиях обострения международной обстановки. На этот период пришлись активизация деятельности созданных США военно-политических блоков, окруживших СССР, события в Венгрии, война на Ближнем Востоке и в Корее, карибский и берлинские кризисы, события в Чехословакии","['Сша', 'Ссср', 'Венгрия', 'Ближний Восток', 'Корея', 'Чехословакия']"
26,В 1971 году Сахаровский по состоянию здоровья ушел из разведки в звании генерал-полковника. В течение ряда лет он работал затем консультантом при председателе КГБ,"['Сахаровский', 'Кгб']"
27,"С июля 1971 года по январь 1974 года внешней разведкой руководил генерал-лейтенант Ф.К. Мортин, бывший до этого первым заместителем А.М. Сахаровского","['Ф.К. Мортин', 'А.М. Сахаровский']"
28,"В ноябре 197 4 года начальником внешней разведки был назначен В.А. Крючков. Выпускник Высшей дипломатической школы, он имел опыт работы в центральном аппарате МИД СССР, в посольстве в Венгрии в дни известных венгерских событий, в аппарате ЦК КПСС на посту помощника секретаря ЦК Ю.В. Андропова. В КГБ СССР возглавлял Секретариат, с 1971 по 1974 год был первым заместителем начальника разведки","['В.А. Крючков', 'Высокий Дипломатический Школа', 'Мид', 'Ссср', 'Венгрия', 'Цк', 'Кпсс', 'Ю.В. Андропов', 'Кгб', 'Секретариат']"
29,"К этому времени внешняя разведка имела богатый опыт оперативной работы, хорошо подготовленные кадры и отлаженную систему аппарата. Разведка в целом справлялась с задачами, которые возлагались на нее руководством страны",[]
30,"В то же время в соответствии с указаниями Ю.В. Андропова, который лично уделял большое внимание совершенствованию работы разведки, были намечены главные, принципиальные направления улучшения деятельности внешней разведки, более прицельная ориентация ее работы на потребности политической и экономической жизни страны",['Ю.В. Андропов']
31,Многое было сделано для налаживания более четкой работы всех звеньев разведывательной службы. Большое внимание уделялось со-,[]
32,"вершенствованию работы информационно-аналитических служб. Были созданы несколько научных структур, которые занимались обобщением оперативной практики, методов ведения разведывательной работы в различных условиях, изучением направлений и методов работы разведслужб противника, внедрением в работу аппарата разведки и резидентур средств вычислительной техники и новейших информационных технологий",[]
33,"В 70-е годы внешняя контрразведка, которая прошла длительный путь своего развития, оформилась в самостоятельное подразделение",[]
34,"Оно было призвано выявлять и пресекать деятельность иностранных спецслужб против Советского Союза и его граждан, обеспечивать безопасность деятельности внешней разведки и ее резидентур, оберегать ее агентурную сеть от проникновения подстав спецслужб иностранных государств. Основным средством решения этих задач было проникновение в спецслужбы противника, перевербовка агентуры, проведение оперативных игр. Поистине это была война разведок -
область наиболее деликатная в разведывательной деятельности, творческая, но и наиболее охраняемая",['Советский Союз']
35,"Оценивая работу внешней контрразведки в описываемый период, можно сказать, что она была весьма эффективной. В начале 80-х годов ценой больших усилий разведки и контрразведки удалось выйти на обширную агентурную сеть противника в Советском Союзе, получить конкретные данные о ее существовании, определить объекты, в которые противнику удалось внедрить свою агентуру. Это были органы безопасности и военная разведка, важнейшие государственные учреждения, научно-исследовательские институты, промышленные предприятия стратегического назначения",['Советский Союз']
36,С учетом требований конспирации совместно с внутренней контрразведкой была проведена широкомасштабная работа по нейтрализации агентурной сети противника,[]
37,"Работа внешней разведки по афганской проблематике нашла отражение в этом томе. В Афганистане, этом традиционно дружественном России государстве, наша разведка работала с давних времен","['Афганистане', 'Россия']"
38,"Главная задача состояла в том, чтобы способствовать укреплению советско-афганских отношений, следить за обстановкой в стране и вокруг нее. Особенно настораживали настойчивые попытки США дестабилизировать обстановку на южных границах СССР, для этого использовался, в частности, и мусульманский фактор","['Сша', 'Ссср']"
39,"Выполняла внешняя разведка в Афганистане и еще одну функцию: помогала укреплять местные органы безопасности. В этих целях во многие афганские провинции направлялись наши советники, на территории СССР шла подготовка афганских разведчиков и контрразведчиков","['Афганистане', 'Ссср']"
40,Деятельность внешней разведки в Афганистане резко активизировалась с момента ввода в страну советских войск. На плечи развед-,['Афганистане']
41,ки легли прежде всего информационно-аналитические задачи. Она регулярно представляла руководству страны аналитические записки с предложениями относительно возможных вариантов действий в той или иной обстановке,[]
42,"Многим сотрудникам внешней разведки, командированным в Афганистан, довелось принимать непосредственное участие в боевых действиях. Некоторые из них погибли, выполняя свой долг. В разведке глубоко чтят их память",['Афганистан']
43,"С приходом в США на президентский пост Р. Рейгана в 1981 году разведка стала получать все больше информации о разработке его администрацией уже не вероятных, а весьма конкретных планов разрушения СССР и ликвидации системы стран социалистического содружества","['Сша', 'Р. Рейган', 'Ссср']"
44,"Еще в период предвыборной кампании внешняя разведка получила довольно полные данные о личности Р. Рейгана. Источники характеризовали его как политика, одержимого идеей «уничтожения существующей в Советском Союзе социальной системы»","['Р. Рейган', 'Советский Союз']"
45,"Таким образом, уже в начале 80-х годов у советского руководства не должно было возникать сомнений относительно конечных целей политики Р. Рейгана. Внешняя разведка направляла руководству страны подробную информацию о содержании разработанных Советом национальной безопасности США и подписанных Р. Рейганом директивных указаний относительно направлений и методов работы государственной машины США по «фундаментальному изменению советской системы», как это говорилось в основополагающей директиве СНБ-75, подписанной Р. Рейганом в январе 1983 года","['Р. Рейган', 'Совет Национальный Безопасность', 'Сша']"
46,"Информация, докладываемая внешней разведкой руководству страны, показывала, что США, используя все возраставшие объективные трудности советской экономики, осуществляли целенаправленную программу по еще большему ее ослаблению",['Сша']
47,"В частности, в эту программу, по данным разведки, входили мероприятия по уменьшению поступления твердой валюты в Советский Союз путем снижения мировых цен на нефть; создание трудностей в реализации крупномасштабных проектов добычи природного газа и строительства газопроводов в целях ограничения экспорта советского газа на Запад; создание препятствий для экспорта советского сырья и оборудования; максимальное ограничение доступа СССР к передовым мировым технологиям; создание трудностей, вплоть до полного срыва, в реализации жизненно важных для страны крупных проектов; поставки в Советский Союз заведомо устаревших техники и технологий; продвижение, с использованием каналов спецслужб, научной и технической дезинформации","['Советский Союз', 'Запад', 'Ссср']"
48,"Планы подрыва советской политической системы и экономики составлялись не на пустом месте. При их разработке использовались данные американских спецслужб, государственного департамента, 10",[]
49,"Пентагона, исследовательских центров и других источников информации о реальных трудностях Советского Союза и развивающихся в его недрах негативных социальных и политических процессах, неспособности высшего партийного руководства своевременно оценивать происходящие в мире и стране изменения и принимать адекватные решения","['Пентагон', 'Советский Союз']"
50,"В ставшем известным советской разведке секретном докладе ЦРУ о проблеме дефицита в СССР твердой валюты, подготовленном американской разведкой в 1986 году, говорилось: «Низкие цены на энергоносители, снижение добычи нефти, падение курса доллара существенно ограничивают возможности СССР на импорт западного оборудования, сельхозпродукции и промышленных материалов до конца десятилетия. Резкое снижение импорта товаров за твердую валюту на треть или более пришлось на время, когда Горбачев, вероятно, рассчитывал на увеличение валютной прибыли, за счет чего намеревался финансировать программу оздоровления экономики~","['Цру', 'Ссср', 'Горбачёв']"
51,"Финансовые трудности Советского Союза усугублялись продолжавшейся гонкой вооружений. По подсчетам ЦРУ, приведенным в вышеупомянутом докладе, реальные потери СССР в результате проводимых американцами мероприятий составили на начало 1986 года 13 млрд долл","['Советский Союз', 'Цру', 'Ссср']"
52,"Задачи внешней разведки в этот ответственный момент истории советского государства состояли не только в том, чтобы добывать информацию и вскрывать планы США и их западных союзников по разрушению Советского Союза, но и, действуя своими специфическими средствами, оказывать противодействие этим планам. В частности, используя свои связи с политическими деятелями и лидерами ряда стран, внешняя разведка вела работу по созданию условий, облегчавших получение денежных кредитов Советским Союзом","['Сша', 'Советский Союз']"
53,"Основная тяжесть по противодействию планам противника по подрыву советской экономики пришлась на научно-техническую разведку. В 80-е годы она была укреплена организационно, пополнилась кадрами, большинство из которых, помимо разведывательного опыта, имело научную и техническую подготовку. Научно-техническая разведка одной из первых внедрила в свою работу новейшие информационные технологии, создала аналитическую службу, располагавшую обширным массивом сведений в своих базах данных",[]
54,"Научно-техническая разведка регулярно снабжала правительство и промышленность информацией о новейших достижениях Запада в области фундаментальных и прикладных наук, передовых технологий, производства новых видов материалов, развития электроники и о многом другом",['Запад']
55,"В условиях организованной США по сути дела экономической блокады СССР, выражавшейся, в частности, в ужесточении запретительных мер на ввоз в Советский Союз передовых технологий, обору-1","['Сша', 'Ссср', 'Советский Союз']"
56,"дования и материалов, внешняя разведка, в первую очередь ее научнотехнические службы, действуя своими специфическими средствами, существенно ослабляли дискриминационные меры Запада, направленные на удушение советской экономики. По организованным разведкой тайным каналам удавалось получать не только документацию на новейшую технологию, но и порой уникальные приборы и оборудование",['Запад']
57,"Чтобы противостоять экономическим диверсиям западных держав, в конце 80-х годов было принято решение выделить работу по экономической проблематике в самостоятельное направление деятельности внешней разведки и создать в этих целях соответствующие структуры. Со временем экономическое направление внешней разведки окрепло, создало оперативные позиции в экономических организациях как внутри Союза, так и за рубежом, и наравне с линиями политической разведки (ПР), контрразведки (КР) и научно-технической разведки (НТР) стало одним из ведущих подразделений разведки по добыче секретной информации и проведению оперативных мероприятий в защиту экономических и торгово-финансовых интересов СССР. В его задачи входило получение актуальной секретной информации о происходящих в мировой экономике процессах, затрагивающих безопасность СССР, отслеживание рынков стратегического сырья и ситуаций на валютных рынках, выявление и предотвращение экономических диверсий противника против советских коммерческих организаций, страховых компаний и банков за границей, выявление и пресечение попыток иностранных фирм и банков нанести прямой экономический ущерб советским внешнеэкономическим организациям, оказание содействия успешному осуществлению коммерческой и финансовой деятельности советских организаций и представительств за рубежом","['Союз', 'Ссср']"
58,"В последние два десятилетия своего существования советская внешняя разведка выросла во многих отношениях: увеличился ее численный состав; она стала многофункциональной по направлениям работы, характеру и специфике решаемых задач, создала ряд структур по научному осмыслению разведывательной деятельности, вооружилась новейшими информационными технологиями",[]
59,"Закономерно возникает вопрос: а какова была отдача, каковы достижения разведки за этот период? Что касается оперативной стороны дела, то ответить на этот вопрос сложно: каждая разведка ревниво оберегает свои секреты. Однако, сколь ни парадоксально, об успехах разведки косвенно можно судить и по ее неудачам, провалам агентуры. За последние несколько лет пресса муссировала имена таких, по утверждению американцев, бывших источников советской внешней разведки, как Уокеры, Липке, Эймс, Ханссен, Эдвард Ли Ховард, Соутер и многих других. Места их работы: ЦРУ, ФБР, АНБ, шифровальные службы военно-морского флота и т.д. Пусть читатель сам и 12","['Какова', 'Уокеры', 'Липке', 'Эймс', 'Ханссен', 'Эдвард Ли Ховард', 'Соутер', 'Цру', 'Фбр', 'Анб']"
60,"подумает, хорошо или плохо работала разведка и в какие объекты противника ей удавалось проникать. Внешняя разведка оставляет за собой право не комментировать эти сообщения прессы",[]
61,"К концу 90-х годов советская разведка все чаще стала получать данные о том, что спецслужбы США и некоторых других капиталистических стран активизировали работу против Советского Союза","['Сша', 'Советский Союз']"
62,"Разведка информировала об этом руководство страны, предупреждала о назревании подмечаемых западными разведками негативных процессов в нашем обществе, обращала внимание на то, как широко использовали спецслужбы западных стран такие факторы, как сепаратизм, регионализм, вели целенаправленную работу по оказанию влияния на интеллигенцию, творческие круги",[]
63,В октябре 1988 года В.А. Крючков был назначен председателем КГБ,"['В.А. Крючков', 'Кгб']"
64,"В феврале 1989 года начальником внешней разведки стал кадровый сотрудник разведки Л.В. Шебаршин. На его долю выпало руководить разведкой в последние годы существования советского государства. Как опытный аналитик и оперативный работник, почти три десятилетия проработавший в разведке на различных, в том числе руководящих, должностях, он не мог не видеть назревавшего процесса распада советского государства и роли в этом западных спецслужб",['Л.В. Шебаршин']
65,"В этих непростых условиях он делал все возможное, чтобы сохранить потенциал внешней разведки, понимая, что при любом исходе событий внешняя разведка должна оставаться необходимым атрибутом государственного аппарата, защищающим национальные интересы России от внешних угроз",['Россия']
66,В сентябре 1991 года директором внешней разведки (в то время она была еще Первым главным управлением КГБ СССР) был назначен Е.М. Примаков,"['Первый Главный Управление', 'Кгб', 'Ссср', 'Е.М. Примаков']"
67,"Это были трудные для разведки времена. В стране шла перестройка, которая, естественно, коснулась и разведки",[]
68,"Первоначально перестройка воспринималась разведкой как необходимость коренного улучшения всех направлений разведывательной работы и в центральном аппарате, и в резидентурах, поиск новых, более эффективных форм работы, концентрации усилий на главных направлениях ее деятельности",[]
69,В центральном'аппарате и подразделениях разведки шла напряженная работа по осмыслению указаний центральных органов и разработке новых форм и методов разведывательной деятельности,[]
70,"Перемены не заставили себя ждать. Прежде всего были уточнены и сужены задачи, которые должна была решать разведка, определена их приоритетность. От «глобализма», когда практически в каждой стране, независимо от ее места в мировой политике и значимости для интересов России, создавались резидентуры, отказались решительно и даже с некоторым облегчением",['Россия']
71,13,[]
72,"Подверглось пересмотру понятие «главный противник~. В организации своей работы разведка стала ориентироваться на «национальные интересы страны~. В каждой конкретной ситуации, подчеркивал директор СВР Е.М. Примаков, «у нас могут быть противники и союзники. Разведка и в новых условиях продолжает бороться против противника, но не раз и навсегда данного, а выявленного в результате его реальной деятельности, которая нарушает или может нарушить интересы России~","['Свр', 'Е.М. Примаков', 'России~']"
